layer,method,physical_pages,n,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90
0,identity_full_int2,764,7,0.6310918689033967,0.7002162652123787,0.7927335909667188
0,identity_full_int2,768,7,0.6273070822058047,0.6953476418159901,0.7917003966527539
0,identity_full_int2,1024,7,0.6690557681480285,0.7259177942573046,0.8281208841847095
0,identity_paired_int4,64,7,0.03312110778512625,0.42761231859674653,0.5910768956763603
0,identity_paired_int4,128,7,0.1738117895393836,0.6113365122275158,0.7115593874957936
0,identity_paired_int4,256,7,0.38244109425765294,0.5817907053308476,0.7714750263571462
0,identity_paired_int4,384,7,0.616249697784241,0.7331431279207343,0.8849153955598427
0,identity_paired_int4,512,7,0.5368327406695339,0.8203319781987994,0.9013931405579761
0,identity_paired_int4,688,7,0.7873677029556386,0.8748782458148154,0.9199435294036362
0,identity_paired_int4,728,7,0.7901152852178405,0.8669099893379771,0.9325537668616863
0,identity_paired_int4,750,7,0.825813947445432,0.8867272451802628,0.9258893501422837
0,identity_paired_int4,752,7,0.8301075134899843,0.880189586856926,0.9267092638730685
0,identity_paired_int4,758,7,0.8212930688842414,0.8808865210236418,0.9268788054306933
0,identity_paired_int4,760,7,0.8207780612612467,0.8875485756770466,0.931486245341286
0,identity_paired_int4,764,7,0.8241133054882729,0.8874638104104164,0.9292152228031358
0,identity_paired_int4,768,7,0.8249081072900981,0.8899210952304897,0.9275505140319598
0,identity_paired_int4,1024,7,0.8734780241185102,0.9431621847729762,0.952809486331716
0,native_row_diagonal,64,7,0.8106514798297076,0.8274994419609387,0.8945069007421511
0,native_row_diagonal,128,7,0.8701180457140442,0.9221993518100857,0.9601627870914817
0,native_row_diagonal,256,7,0.9862494472213494,0.9874830848629575,0.9924690688402164
0,native_row_diagonal,384,7,0.9959172337084581,0.9993784894794112,0.9996780606898933
0,native_row_diagonal,512,7,1.0,1.0,1.0
0,native_row_diagonal,688,7,1.0,1.0,1.0
0,native_row_diagonal,728,7,1.0,1.0,1.0
0,native_row_diagonal,750,7,1.0,1.0,1.0
0,native_row_diagonal,752,7,1.0,1.0,1.0
0,native_row_diagonal,758,7,1.0,1.0,1.0
0,native_row_diagonal,760,7,1.0,1.0,1.0
0,native_row_diagonal,764,7,1.0,1.0,1.0
0,native_row_diagonal,768,7,1.0,1.0,1.0
0,native_row_diagonal,1024,7,1.0,1.0,1.0
0,native_row_exact_greedy,64,7,0.8744796672555785,0.9173869816584063,0.9297808087610299
0,native_row_exact_greedy,128,7,0.9120329580046886,0.9440341605254724,0.9575876140201282
0,native_row_exact_greedy,256,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,384,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,512,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,688,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,728,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,750,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,752,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,758,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,760,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,764,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,768,7,0.9205699797499495,0.9492283745635526,0.9673616870859622
0,native_row_exact_greedy,1024,7,1.0,1.0,1.0
0,per_expert_joint_rank1024_fp32_oracle,64,7,0.4651227573498146,0.6485721405484527,0.6960846896711308
0,per_expert_joint_rank1024_fp32_oracle,128,7,0.6995476249546757,0.8481581999104859,0.8885953858317336
0,per_expert_joint_rank1024_fp32_oracle,256,7,0.9388266013481045,0.9689732697557417,0.9834567992435549
0,per_expert_joint_rank1024_fp32_oracle,384,7,0.9993271326094523,0.9997146557242625,0.999791419627014
0,per_expert_joint_rank1024_fp32_oracle,512,7,0.9999999626391868,0.999999964402905,0.9999999734569348
0,per_expert_joint_rank1024_fp32_oracle,688,7,0.9999999626266486,0.9999999643473402,0.9999999734787477
0,per_expert_joint_rank1024_fp32_oracle,728,7,0.9999999626344533,0.9999999643611025,0.9999999734813054
0,per_expert_joint_rank1024_fp32_oracle,750,7,0.9999999626315775,0.9999999643596902,0.9999999734915513
0,per_expert_joint_rank1024_fp32_oracle,752,7,0.9999999626304118,0.9999999643586951,0.9999999734934155
0,per_expert_joint_rank1024_fp32_oracle,758,7,0.9999999626288075,0.9999999643685752,0.9999999734890977
0,per_expert_joint_rank1024_fp32_oracle,760,7,0.9999999626278397,0.9999999643690176,0.9999999734897564
0,per_expert_joint_rank1024_fp32_oracle,764,7,0.9999999626269118,0.999999964369053,0.9999999734904259
0,per_expert_joint_rank1024_fp32_oracle,768,7,0.9999999626263147,0.9999999643693961,0.9999999734896068
0,per_expert_joint_rank1024_fp32_oracle,1024,7,0.9999999626349524,0.9999999643538021,0.9999999734966252
0,per_expert_joint_rank1024_int2,64,7,0.2082883932641664,0.5148323385416131,0.6675598489855629
0,per_expert_joint_rank1024_int2,128,7,0.5700101066488474,0.6702511364499982,0.8301077170045953
0,per_expert_joint_rank1024_int2,256,7,0.6772547914649337,0.7473973696706379,0.8687357261400155
0,per_expert_joint_rank1024_int2,384,7,0.677256980748473,0.7474124837986206,0.8687353126519656
0,per_expert_joint_rank1024_int2,512,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int2,688,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int2,728,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int2,750,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int2,752,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int2,758,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int2,760,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int2,764,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
