method,physical_pages,n,isolated_recovery_p10,isolated_recovery_median,isolated_recovery_p90,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90,physically_encoded,budget_semantics
per_expert_joint_rank1024_int2,688,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,728,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,750,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,752,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,758,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,760,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,764,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,768,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,1024,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
per_expert_joint_rank1024_int4,64,55,0.4040484993943495,0.43477612228418827,0.5864740893724801,0.05653401418665258,0.4295820555101526,0.6493884040435854,True,physical_512_byte_pages
