method,budget_bpw,layer,expert_id,expert_stratum,invocations,mean,median
independent_direct_generalized_native,1.25,20,30,cold,1,0.31661009788513184,0.31661009788513184
independent_direct_generalized_native,1.25,20,44,median,3,0.3658607006072998,0.346785306930542
independent_direct_generalized_native,1.25,20,45,median,1,0.30669480562210083,0.30669480562210083
independent_direct_generalized_native,1.25,20,72,hot,4,0.4317396581172943,0.4257730543613434
independent_direct_generalized_native,1.25,20,142,median,3,0.5310643911361694,0.537267804145813
independent_direct_generalized_native,1.25,20,148,hot,4,0.4420427680015564,0.44860032200813293
independent_direct_generalized_native,1.25,20,232,hot,4,0.48150308430194855,0.5052286684513092
independent_direct_generalized_native,1.25,20,240,hot,4,0.42629869282245636,0.41297709941864014
independent_direct_generalized_native,1.25,39,22,hot,4,0.3596319407224655,0.37657082080841064
independent_direct_generalized_native,1.25,39,37,median,4,0.49298784136772156,0.49878785014152527
independent_direct_generalized_native,1.25,39,43,cold,2,0.3094092905521393,0.3094092905521393
independent_direct_generalized_native,1.25,39,55,median,4,0.371575266122818,0.3717676103115082
independent_direct_generalized_native,1.25,39,70,hot,4,0.3389413356781006,0.34363478422164917
independent_direct_generalized_native,1.25,39,147,median,4,0.4533700495958328,0.4557788074016571
independent_direct_generalized_native,1.25,39,189,hot,4,0.38307352364063263,0.37055158615112305
independent_direct_generalized_native,1.25,39,193,median,4,0.46662437915802,0.45895496010780334
independent_direct_generalized_native,1.25,39,235,hot,4,0.3588815778493881,0.39595112204551697
independent_direct_generalized_native,1.5,0,1,median,4,0.5976240932941437,0.5765191912651062
independent_direct_generalized_native,1.5,0,8,cold,1,0.718070387840271,0.718070387840271
independent_direct_generalized_native,1.5,0,17,cold,4,0.6388493329286575,0.6280762851238251
independent_direct_generalized_native,1.5,0,22,median,4,0.6470730155706406,0.5969449877738953
independent_direct_generalized_native,1.5,0,114,median,1,0.8155653476715088,0.8155653476715088
independent_direct_generalized_native,1.5,0,158,median,4,0.7028915882110596,0.7013883590698242
independent_direct_generalized_native,1.5,0,164,cold,3,0.7149767478307089,0.7520168423652649
independent_direct_generalized_native,1.5,0,181,hot,4,0.7181872129440308,0.704075813293457
independent_direct_generalized_native,1.5,0,206,hot,4,0.7343829274177551,0.7302559614181519
independent_direct_generalized_native,1.5,0,238,hot,4,0.7271065562963486,0.7246826887130737
independent_direct_generalized_native,1.5,0,248,cold,4,0.6154141575098038,0.6185922026634216
independent_direct_generalized_native,1.5,0,252,hot,4,0.9132772535085678,0.9230596423149109
independent_direct_generalized_native,1.5,4,28,hot,4,0.6392188966274261,0.6742625534534454
independent_direct_generalized_native,1.5,4,36,median,4,0.5971013754606247,0.6134465038776398
independent_direct_generalized_native,1.5,4,82,median,4,0.7192934900522232,0.7302245795726776
independent_direct_generalized_native,1.5,4,111,cold,1,0.560623049736023,0.560623049736023
independent_direct_generalized_native,1.5,4,129,hot,4,0.6385162770748138,0.6411556601524353
independent_direct_generalized_native,1.5,4,134,hot,4,0.6394778937101364,0.6518593728542328
independent_direct_generalized_native,1.5,4,143,cold,1,0.5864835977554321,0.5864835977554321
independent_direct_generalized_native,1.5,4,154,hot,4,0.6579817086458206,0.6537964344024658
independent_direct_generalized_native,1.5,4,190,median,4,0.7618347853422165,0.7512940466403961
independent_direct_generalized_native,1.5,4,193,median,4,0.6304616630077362,0.6263708472251892
independent_direct_generalized_native,1.5,20,30,cold,1,0.4766795039176941,0.4766795039176941
independent_direct_generalized_native,1.5,20,44,median,3,0.6412067413330078,0.6822469234466553
independent_direct_generalized_native,1.5,20,45,median,1,0.590140163898468,0.590140163898468
independent_direct_generalized_native,1.5,20,72,hot,4,0.6751775443553925,0.6728927791118622
independent_direct_generalized_native,1.5,20,142,median,3,0.7100389202435812,0.7117497324943542
independent_direct_generalized_native,1.5,20,148,hot,4,0.7030245512723923,0.7107972502708435
independent_direct_generalized_native,1.5,20,232,hot,4,0.7278306633234024,0.7183370590209961
independent_direct_generalized_native,1.5,20,240,hot,4,0.6608693599700928,0.6560141146183014
independent_direct_generalized_native,1.5,39,22,hot,4,0.6306539475917816,0.6352483034133911
independent_direct_generalized_native,1.5,39,37,median,4,0.7205583155155182,0.7500315308570862
independent_direct_generalized_native,1.5,39,43,cold,2,0.5171168446540833,0.5171168446540833
independent_direct_generalized_native,1.5,39,55,median,4,0.5948075950145721,0.5858848094940186
independent_direct_generalized_native,1.5,39,70,hot,4,0.6507026553153992,0.6658503413200378
independent_direct_generalized_native,1.5,39,147,median,4,0.6937831044197083,0.6934787034988403
