method,budget_bpw,layer,invocations,mean,p10,median,p90
rrq_raw_heterogeneous_bf16_scales,2.0,4,34,0.6737100183963776,0.587488979101181,0.671892523765564,0.7640913546085357
rrq_raw_heterogeneous_bf16_scales,2.0,20,24,0.672533760468165,0.5471631824970246,0.6925066411495209,0.7802737295627594
rrq_raw_heterogeneous_bf16_scales,2.0,39,34,0.6812504056622001,0.5864460527896881,0.6788545250892639,0.7831551134586334
rrq_raw_heterogeneous_bf16_scales,2.25,0,41,0.6985876545673464,0.5837012529373169,0.681679368019104,0.835334837436676
rrq_raw_heterogeneous_bf16_scales,2.25,4,34,0.6737100183963776,0.587488979101181,0.671892523765564,0.7640913546085357
rrq_raw_heterogeneous_bf16_scales,2.25,20,24,0.672533760468165,0.5471631824970246,0.6925066411495209,0.7802737295627594
rrq_raw_heterogeneous_bf16_scales,2.25,39,34,0.6812504056622001,0.5864460527896881,0.6788545250892639,0.7831551134586334
rrq_raw_heterogeneous_bf16_scales,3.0,0,41,0.8499295784205925,0.76078200340271,0.8537660241127014,0.9338932037353516
rrq_raw_heterogeneous_bf16_scales,3.0,4,34,0.8681233840830186,0.804849100112915,0.8734900057315826,0.9251068651676178
rrq_raw_heterogeneous_bf16_scales,3.0,20,24,0.8850238099694252,0.8041175842285156,0.9035039246082306,0.9495961666107178
rrq_raw_heterogeneous_bf16_scales,3.0,39,34,0.8379757351735059,0.7718068480491638,0.8452933728694916,0.9034050464630127
rrq_raw_heterogeneous_bf16_scales,4.0,0,41,0.9594134281321269,0.9314550161361694,0.9659482836723328,0.983311653137207
rrq_raw_heterogeneous_bf16_scales,4.0,4,34,0.9553587611983804,0.9307425320148468,0.9570842683315277,0.9780576288700104
rrq_raw_heterogeneous_bf16_scales,4.0,20,24,0.9598332494497299,0.9364637851715087,0.9619293212890625,0.9744854688644409
rrq_raw_heterogeneous_bf16_scales,4.0,39,34,0.9539402197389042,0.9357129454612731,0.9550426006317139,0.9733519136905671
rrq_raw_heterogeneous_fp32_scales_upper,0.75,0,41,1.3083946414110137e-08,0.0,0.0,5.960464477539063e-08
rrq_raw_heterogeneous_fp32_scales_upper,0.75,4,34,8.765388937557445e-09,0.0,0.0,5.960464477539063e-08
rrq_raw_heterogeneous_fp32_scales_upper,0.75,20,24,7.450580596923828e-09,0.0,0.0,4.1723251342773395e-08
rrq_raw_heterogeneous_fp32_scales_upper,0.75,39,34,3.506155575022978e-09,0.0,0.0,0.0
rrq_raw_heterogeneous_fp32_scales_upper,1.0,0,41,0.4569436224495492,0.3506087064743042,0.40667814016342163,0.6799709796905518
rrq_raw_heterogeneous_fp32_scales_upper,1.0,4,34,0.4206622015027439,0.33171663880348207,0.4096038043498993,0.5416245996952057
rrq_raw_heterogeneous_fp32_scales_upper,1.0,20,24,0.4240504577755928,0.3090221107006073,0.39834198355674744,0.5474391281604767
rrq_raw_heterogeneous_fp32_scales_upper,1.0,39,34,0.4480639292913325,0.3287460684776306,0.455973356962204,0.5576783299446106
rrq_raw_heterogeneous_fp32_scales_upper,1.25,0,41,0.4569436224495492,0.3506087064743042,0.40667814016342163,0.6799709796905518
rrq_raw_heterogeneous_fp32_scales_upper,1.25,4,34,0.4206622015027439,0.33171663880348207,0.4096038043498993,0.5416245996952057
rrq_raw_heterogeneous_fp32_scales_upper,1.25,20,24,0.4240504577755928,0.3090221107006073,0.39834198355674744,0.5474391281604767
rrq_raw_heterogeneous_fp32_scales_upper,1.25,39,34,0.4480639292913325,0.3287460684776306,0.455973356962204,0.5576783299446106
rrq_raw_heterogeneous_fp32_scales_upper,1.5,0,41,0.4569436224495492,0.3506087064743042,0.40667814016342163,0.6799709796905518
rrq_raw_heterogeneous_fp32_scales_upper,1.5,4,34,0.4206622015027439,0.33171663880348207,0.4096038043498993,0.5416245996952057
rrq_raw_heterogeneous_fp32_scales_upper,1.5,20,24,0.4240504577755928,0.3090221107006073,0.39834198355674744,0.5474391281604767
rrq_raw_heterogeneous_fp32_scales_upper,1.5,39,34,0.4480639292913325,0.3287460684776306,0.455973356962204,0.5576783299446106
rrq_raw_heterogeneous_fp32_scales_upper,2.0,0,41,0.6987966211830697,0.5859612822532654,0.681678056716919,0.8354178667068481
rrq_raw_heterogeneous_fp32_scales_upper,2.0,4,34,0.6737840403528774,0.58748779296875,0.6720523536205292,0.7639556646347045
