method,layer,expert_id,budget_bpw,invocations,median_recovery
A0_current_Q2_whole_projection,39,189,2.5,4,0.8799020606555419
A0_current_Q2_whole_projection,39,189,3.0,4,0.8953330186888688
A0_current_Q2_whole_projection,39,189,4.0,4,0.9055948605942032
A0_current_Q2_whole_projection,39,193,0.0,4,0.0
A0_current_Q2_whole_projection,39,193,0.5,4,0.7809749124702443
A0_current_Q2_whole_projection,39,193,0.75,4,0.8208694199990523
A0_current_Q2_whole_projection,39,193,1.0,4,0.8518832286577471
A0_current_Q2_whole_projection,39,193,1.5,4,0.868866302577435
A0_current_Q2_whole_projection,39,193,2.0,4,0.8803204274160368
A0_current_Q2_whole_projection,39,193,2.5,4,0.9079543058525047
A0_current_Q2_whole_projection,39,193,3.0,4,0.9203415970097262
A0_current_Q2_whole_projection,39,193,4.0,4,0.9225939835443284
A0_current_Q2_whole_projection,39,235,0.0,4,0.0
A0_current_Q2_whole_projection,39,235,0.5,4,0.519793601188943
A0_current_Q2_whole_projection,39,235,0.75,4,0.5328292092055102
A0_current_Q2_whole_projection,39,235,1.0,4,0.5703795241133296
A0_current_Q2_whole_projection,39,235,1.5,4,0.6402764631528687
A0_current_Q2_whole_projection,39,235,2.0,4,0.6855637689799619
A0_current_Q2_whole_projection,39,235,2.5,4,0.7611502680214015
A0_current_Q2_whole_projection,39,235,3.0,4,0.7898154053628137
A0_current_Q2_whole_projection,39,235,4.0,4,0.8265049746059288
A6_corrected_screened_greedy,0,1,0.0,1,0.0
A6_corrected_screened_greedy,0,1,0.5,1,0.7645525446052663
A6_corrected_screened_greedy,0,1,0.75,1,0.8314009242833051
A6_corrected_screened_greedy,0,1,1.0,1,0.8457452171017171
A6_corrected_screened_greedy,0,1,1.5,1,0.8812128675806186
A6_corrected_screened_greedy,0,1,2.0,1,0.8965215256070412
A6_corrected_screened_greedy,0,1,2.5,1,0.896543967329587
A6_corrected_screened_greedy,0,1,3.0,1,0.896543967329587
A6_corrected_screened_greedy,0,1,4.0,1,0.896543967329587
A6_corrected_screened_greedy,0,8,0.0,1,0.0
A6_corrected_screened_greedy,0,8,0.5,1,0.7927032557487386
A6_corrected_screened_greedy,0,8,0.75,1,0.8381786882478927
A6_corrected_screened_greedy,0,8,1.0,1,0.8584330933383756
A6_corrected_screened_greedy,0,8,1.5,1,0.8773258847302844
A6_corrected_screened_greedy,0,8,2.0,1,0.8774013287992857
A6_corrected_screened_greedy,0,8,2.5,1,0.8774013287992857
A6_corrected_screened_greedy,0,8,3.0,1,0.8774013287992857
A6_corrected_screened_greedy,0,8,4.0,1,0.8774013287992857
A6_corrected_screened_greedy,0,17,0.0,1,0.0
A6_corrected_screened_greedy,0,17,0.5,1,0.849301703810624
A6_corrected_screened_greedy,0,17,0.75,1,0.8842053813604605
A6_corrected_screened_greedy,0,17,1.0,1,0.909464068982639
A6_corrected_screened_greedy,0,17,1.5,1,0.9224446532348175
A6_corrected_screened_greedy,0,17,2.0,1,0.9228860735786221
A6_corrected_screened_greedy,0,17,2.5,1,0.92428365760689
A6_corrected_screened_greedy,0,17,3.0,1,0.92428365760689
A6_corrected_screened_greedy,0,17,4.0,1,0.92428365760689
A6_corrected_screened_greedy,0,22,0.0,1,0.0
A6_corrected_screened_greedy,0,22,0.5,1,0.7642547143150215
A6_corrected_screened_greedy,0,22,0.75,1,0.8152716372890574
A6_corrected_screened_greedy,0,22,1.0,1,0.8354504043982022
A6_corrected_screened_greedy,0,22,1.5,1,0.8486356960373589
A6_corrected_screened_greedy,0,22,2.0,1,0.849346067699909
A6_corrected_screened_greedy,0,22,2.5,1,0.8493715573555518
A6_corrected_screened_greedy,0,22,3.0,1,0.8493715573555518
A6_corrected_screened_greedy,0,22,4.0,1,0.8493715573555518
A6_corrected_screened_greedy,0,114,0.0,1,0.0
A6_corrected_screened_greedy,0,114,0.5,1,0.8084792160495536
A6_corrected_screened_greedy,0,114,0.75,1,0.8256998383735958
A6_corrected_screened_greedy,0,114,1.0,1,0.842373543163623
A6_corrected_screened_greedy,0,114,1.5,1,0.855283332364569
A6_corrected_screened_greedy,0,114,2.0,1,0.8658497802629541
A6_corrected_screened_greedy,0,114,2.5,1,0.8682709809240672
A6_corrected_screened_greedy,0,114,3.0,1,0.8683469477685909
A6_corrected_screened_greedy,0,114,4.0,1,0.8683496771732452
A6_corrected_screened_greedy,0,158,0.0,1,0.0
A6_corrected_screened_greedy,0,158,0.5,1,0.8680721018687924
A6_corrected_screened_greedy,0,158,0.75,1,0.8848146018629208
A6_corrected_screened_greedy,0,158,1.0,1,0.9018642785761761
A6_corrected_screened_greedy,0,158,1.5,1,0.918586426360376
A6_corrected_screened_greedy,0,158,2.0,1,0.919763749961835
A6_corrected_screened_greedy,0,158,2.5,1,0.9197925792011423
A6_corrected_screened_greedy,0,158,3.0,1,0.9197925792011423
A6_corrected_screened_greedy,0,158,4.0,1,0.9197925792011423
A6_corrected_screened_greedy,0,164,0.0,1,0.0
A6_corrected_screened_greedy,0,164,0.5,1,0.8821387372041805
A6_corrected_screened_greedy,0,164,0.75,1,0.9070162437825309
A6_corrected_screened_greedy,0,164,1.0,1,0.9124742227648044
A6_corrected_screened_greedy,0,164,1.5,1,0.9196344375613498
A6_corrected_screened_greedy,0,164,2.0,1,0.9196366440926825
A6_corrected_screened_greedy,0,164,2.5,1,0.9196366440926825
A6_corrected_screened_greedy,0,164,3.0,1,0.9196366440926825
A6_corrected_screened_greedy,0,164,4.0,1,0.9196366440926825
A6_corrected_screened_greedy,0,181,0.0,1,0.0
A6_corrected_screened_greedy,0,181,0.5,1,0.8511081469517865
A6_corrected_screened_greedy,0,181,0.75,1,0.8643906432011023
