method,requested_rank,fit,coefficient_bits,down_physical_bpw,invocations,mean_recovery,median_recovery,p10_recovery,p90_recovery
B2_proxy_shared,128,projection,4,0.28125,133,0.41254046133586336,0.3892109990119934,-0.004810023307800284,0.8908267259597777
B2_proxy_shared,128,projection,8,0.53125,133,0.4156639100913715,0.4040377140045166,0.0013841271400451792,0.8876034140586853
B2_proxy_shared,128,projection,16,1.03125,133,0.41572262649249314,0.4034523367881775,0.0006697416305542123,0.8879301309585571
B2_proxy_shared,256,activation_ls,4,0.5625,133,0.4139364312465926,0.38236361742019653,0.013791763782501222,0.9344675064086914
B2_proxy_shared,256,activation_ls,8,1.0625,133,0.4180896690017299,0.3777475357055664,0.013453245162963867,0.9404546022415161
B2_proxy_shared,256,activation_ls,16,2.03125,133,0.4180777579321897,0.377902626991272,0.013504493236541749,0.9403177976608277
B2_proxy_shared,256,projection,4,0.5625,133,0.4874609417485115,0.5335332155227661,0.06080942153930665,0.9322552442550659
B2_proxy_shared,256,projection,8,1.0625,133,0.49026357948331906,0.5308442711830139,0.06515105962753297,0.9431045532226563
B2_proxy_shared,256,projection,16,2.03125,133,0.4904962424048804,0.5308951139450073,0.06394995450973512,0.9430273056030274
B2_proxy_shared,512,activation_ls,4,0.8125,41,0.5621975122428522,0.6282437443733215,0.012664616107940674,0.9896820187568665
B2_proxy_shared,512,activation_ls,4,1.03125,34,0.3549463748931885,0.3554099500179291,0.06264243125915528,0.6877901315689087
B2_proxy_shared,512,activation_ls,4,1.09375,58,0.40916523440130825,0.40258097648620605,0.022960263490676883,0.8291236162185671
B2_proxy_shared,512,activation_ls,8,1.59375,41,0.5656022269551347,0.6208757162094116,0.011322557926177979,0.993082582950592
B2_proxy_shared,512,activation_ls,8,1.96875,34,0.35775112930466146,0.3471355736255646,0.06163048148155213,0.6897487819194794
B2_proxy_shared,512,activation_ls,8,2.09375,58,0.41409561551850416,0.3757045269012451,0.022819083929061897,0.8198771119117739
B2_proxy_shared,512,activation_ls,16,3.0625,41,0.5657016780318284,0.620943546295166,0.01077425479888916,0.9930941462516785
B2_proxy_shared,512,activation_ls,16,3.8125,34,0.35808073422488046,0.34823673963546753,0.06103302836418153,0.6897634983062744
B2_proxy_shared,512,activation_ls,16,4.03125,58,0.41406044466742153,0.37608659267425537,0.024124598503112802,0.8204589307308199
B2_proxy_shared,512,projection,4,0.8125,41,0.6112089258868519,0.7023303508758545,0.06906318664550781,0.9920960068702698
B2_proxy_shared,512,projection,4,1.03125,34,0.5108592650469612,0.6018016338348389,0.09749001264572145,0.7659690678119659
B2_proxy_shared,512,projection,4,1.09375,58,0.5545801982797426,0.6036110818386078,0.2198330819606781,0.8360685169696808
B2_proxy_shared,512,projection,8,1.59375,41,0.6123506354122628,0.7018007040023804,0.0889011025428772,0.9949333667755127
B2_proxy_shared,512,projection,8,1.96875,34,0.5157868599190432,0.596601665019989,0.12483131289482119,0.7716880083084107
B2_proxy_shared,512,projection,8,2.09375,58,0.5586758533428455,0.6068103313446045,0.23551231622695923,0.837427568435669
