source_run_mode,capture_source,evaluation_split,objective,selection_category,selection_regime,action_family,representation,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_page_amplification,median_runtime_ms,median_selector_bytes
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.375,4,0.640764214916758,0.8568058604185573,0.9795815446461213,288.0,96.0,1.0,15.456675551831722,25165824.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.5,4,0.7309282001837435,0.9161637971595187,0.9873914626816234,384.0,128.0,1.0,15.456675551831722,25165824.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.75,4,0.8791901898603516,0.938572383966248,0.9977162709354418,576.0,192.0,1.0,15.456675551831722,25165824.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,1.0,4,0.9343164089890161,0.9719546971674904,0.999490922862346,768.0,256.0,1.0,15.456675551831722,25165824.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,1.25,4,0.9734855658270615,0.9874396846129254,0.9997951644998802,960.0,320.0,1.0,15.456675551831722,25165824.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,1.5,4,0.9914096307934239,0.9962366902481851,0.9998727907608876,1152.0,384.0,1.0,15.456675551831722,25165824.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,2.0,4,1.0,1.0,1.0,1536.0,512.0,1.0,15.456675551831722,25165824.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,0.0625,4,0.2879753244481866,0.4832137323428112,0.7421704938025433,48.0,16.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,0.125,4,0.3464132206721855,0.4862366924733994,0.7541311698275088,96.0,32.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,0.25,4,0.2641509892464014,0.6207122180878284,0.8912049802249729,192.0,64.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,0.375,4,0.324152811007942,0.7463543149149203,0.9132419558725989,288.0,96.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,0.5,4,0.3637968144721528,0.7940362665125278,0.9530100844170523,384.0,128.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,0.75,4,0.573538919024475,0.9154279100322555,0.9946681342103147,576.0,192.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,1.0,4,0.7164530559526333,0.9230899661919496,0.9987326844329525,768.0,256.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,1.25,4,0.8597090727357428,0.9301780908314987,0.9990250723408273,960.0,320.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,1.5,4,0.8968259001910193,0.9707019834748829,0.9995315333429886,1152.0,384.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_proxy,h0_resident_proxy_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,q2_hidden_magnitude,2.0,4,1.0,1.0,1.0,1536.0,512.0,1.0,0.06604008376598358,4096.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.0625,55,-0.02602551705331504,0.2826882767173903,0.6749024791183571,48.0,16.0,1.0,0.07968023419380188,5124.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.125,55,0.022888472508487384,0.37518231561369175,0.7091880916558899,96.0,32.0,1.0,0.07968023419380188,5124.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.25,55,0.2626360810042551,0.5421874712293996,0.867217532846302,192.0,64.0,1.0,0.07968023419380188,5124.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.375,55,0.3332686375921653,0.6138649082733305,0.9135576899907931,288.0,96.0,1.0,0.07968023419380188,5124.0
