factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,8,32,393.84375,384.0,295.1,528.9000000000001,0.9501246036844606,0.9034315991787736
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,39,1,32,381.375,384.0,264.7,505.40000000000003,0.9848251558876524,0.9215168966019261
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,39,2,32,406.25,389.0,272.1,576.0,0.9777695594719781,0.9542613049786592
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,39,3,32,401.75,396.5,259.9,570.7000000000002,0.9759938704632136,0.9114624568163509
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,39,4,32,411.5625,384.0,317.0,519.0,0.9713224437021581,0.9411848741861742
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,39,5,32,375.375,384.0,277.7,505.70000000000005,0.9676084872223252,0.8798832366761642
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,39,6,32,389.28125,384.0,268.7,497.90000000000003,0.9536835159216508,0.9137003770394226
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,39,7,32,365.3125,373.5,278.7,513.4000000000001,0.9598639452482531,0.9126699195549498
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,39,8,32,336.71875,365.0,202.5,448.4000000000001,0.9392721745346734,0.8765023472150553
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,0,1,32,584.75,569.5,404.9,738.2,0.9994218930557567,0.9982806100329982
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,0,2,32,594.28125,576.0,387.7,804.2,0.9994076906454572,0.9975181013208294
