group,policy,budget_bpw,invocations,requests,p10_recovery,median_recovery,p90_recovery,mean_recovery,median_ci_low,median_ci_high,median_logical_bpw,median_physical_bpw,median_page_amplification
layers 4/20/39,ordered_a,0.25,54,6,0.38364216931849654,0.6269980103587158,0.8296542848208429,0.6202505578410615,0.5505875434351242,0.6875621999940728,0.25,0.25,1.0
layers 4/20/39,ordered_a,0.5,54,6,0.6196229745489729,0.7964796143567663,0.9547277914981738,0.7805279502017213,0.7438487038063205,0.8298427752788765,0.5,0.5,1.0
layers 4/20/39,ordered_a,0.75,54,6,0.7417424182759488,0.8670581863835847,0.9785829126968418,0.8628110991214905,0.8459796037124517,0.8991998673487057,0.7496744791666666,0.75,1.00023063061917
layers 4/20/39,ordered_a,1.0,54,6,0.8535666048879392,0.9157061016556077,0.9896912394769648,0.915447107220754,0.892331436353167,0.9311592810388615,0.9996744791666666,1.0,1.000325626831651
layers 4/20/39,ordered_a,1.25,54,6,0.9218903887554022,0.9523752683289683,0.9936012558360717,0.9533629057116494,0.9510522350966706,0.9609531962370421,1.24951171875,1.25,1.0003907776475185
layers 4/20/39,ordered_a,1.5,54,6,0.959220246693542,0.9793248154057383,0.9960878958773454,0.9764967983284857,0.9753034888168716,0.9815248023479771,1.4990234375,1.5,1.0005428410188664
layers 4/20/39,ordered_a,2.0,54,6,0.9986127313371256,0.9999118777539249,0.9999999999996769,0.9995369308469009,0.9996981330880192,0.999984574328375,1.9973958333333333,2.0,1.001303780964798
layers 4/20/39,parity_abq,0.25,54,6,0.3991861948064682,0.624059457706768,0.8284878835265637,0.629416106045401,0.5320685689495368,0.6945979312027104,0.25,0.25,1.0
layers 4/20/39,parity_abq,0.5,54,6,0.6026219350669382,0.7764933459375231,0.9558953057076189,0.778124784518939,0.7199643529124918,0.8114155973984505,0.5,0.5,1.0
layers 4/20/39,parity_abq,0.75,54,6,0.7659452467536191,0.8569936544252184,0.9778647660644372,0.8638383947322057,0.8302733477350688,0.8926044251728117,0.7498372395833334,0.75,1.0002170609941394
layers 4/20/39,parity_abq,1.0,54,6,0.8428565174534285,0.9196181234374634,0.9908812596301753,0.9164832677569891,0.8982848940904485,0.9395209264907487,0.9996744791666666,1.0,1.000325626831651
layers 4/20/39,parity_abq,1.25,54,6,0.914959410733675,0.9533017516552471,0.9943558014439564,0.9525737167939914,0.9503302105861127,0.9608789411709556,1.24951171875,1.25,1.0003907776475185
layers 4/20/39,parity_abq,1.5,54,6,0.9627682943290955,0.9789281679033434,0.9976317139639266,0.9780632715504602,0.9747396763771539,0.9823307475663475,1.49951171875,1.5,1.000325626831651
layers 4/20/39,parity_abq,2.0,54,6,0.999999999999345,0.9999999999996456,0.9999999999998538,0.9999999999996056,0.9999999999994934,0.9999999999997256,1.9993489583333333,2.0,1.000325626831651
