injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,sequence_tokens,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_membership_change_fraction,router_mass_churn
post_xplus_bf16_delta,live,39,384,0.5234781901041666,1.0,3,44,1.3912526584740222e-05,0.00012523712647596102,5.572161714047861e-05,0.0,0.0,0.0
post_xplus_bf16_delta,live,39,576,0.7734781901041666,1.0,3,44,4.8763500063543255e-06,4.426911483321555e-05,1.9732063763458736e-05,0.0,0.0,0.0
post_xplus_bf16_delta,live,39,749,0.9987386067708334,1.0,3,44,1.774575913087263e-06,1.6200646245264937e-05,7.210499538990899e-06,0.0,0.0,0.0
post_xplus_bf16_delta,live,39,768,1.0234781901041665,1.0,3,44,1.5728945068264778e-06,1.4414284039669067e-05,6.391557927690951e-06,0.0,0.0,0.0
post_xplus_fp32_once,live,0,384,0.5234781901041666,1.0,3,44,0.0001398753646293988,0.0013576761835577364,0.0005676065548348128,0.00021786426962337206,0.09090909090909091,0.013138878882678428
post_xplus_fp32_once,live,0,576,0.7734781901041666,1.0,3,44,0.00018978761320909143,0.0017207420256647211,0.0007649946954977414,0.00023701428126169906,0.11363636363636363,0.015309314064199157
post_xplus_fp32_once,live,0,749,0.9987386067708334,1.0,3,44,0.0001532144686031891,0.0012914296795846505,0.0006183952443974354,0.00020703697351531406,0.11363636363636363,0.014625899762348182
post_xplus_fp32_once,live,0,768,1.0234781901041665,1.0,3,44,0.00018063729652340044,0.0016688657943842561,0.0007252205552752713,0.00023294747305349094,0.09090909090909091,0.015107007800288204
post_xplus_fp32_once,live,1,384,0.5234781901041666,1.0,3,44,0.00018016720896890155,0.0016618484809222533,0.0007291599384943701,0.00023595858556118472,0.11363636363636363,0.014445374823089193
post_xplus_fp32_once,live,1,576,0.7734781901041666,1.0,3,44,0.00016294427083287454,0.001465376964173402,0.000659607187584568,0.0002342806665962461,0.18181818181818182,0.021983361908534952
post_xplus_fp32_once,live,1,749,0.9987386067708334,1.0,3,44,0.00018270723496078227,0.0016673198677678751,0.0007405927110931839,0.0002444846065136152,0.11363636363636363,0.014357899516943811
post_xplus_fp32_once,live,1,768,1.0234781901041665,1.0,3,44,0.0001528039259219647,0.0013728023415113865,0.000617308106956442,0.00021871518064404133,0.13636363636363635,0.01897417243208555
post_xplus_fp32_once,live,4,384,0.5234781901041666,1.0,3,44,0.00018834673559292077,0.0017999456517881485,0.0007604571534971465,0.00025411365203095726,0.09090909090909091,0.016357681861021083
post_xplus_fp32_once,live,4,576,0.7734781901041666,1.0,3,44,0.0001815801066465445,0.0016775005177331848,0.0007349220021732934,0.00023165135359251958,0.11363636363636363,0.015091533764888204
post_xplus_fp32_once,live,4,749,0.9987386067708334,1.0,3,44,0.00018879762274857305,0.0017846033055160684,0.0007674636864070307,0.0002466541435868995,0.1590909090909091,0.018269429528889304
post_xplus_fp32_once,live,4,768,1.0234781901041665,1.0,3,44,0.0001803740558211137,0.0016954454933492118,0.0007324645181935647,0.00023020493786957228,0.13636363636363635,0.01701308340517348
post_xplus_fp32_once,live,6,384,0.5234781901041666,1.0,3,44,0.00015395803700228456,0.0013824402129021605,0.0006196518839944649,0.0002200769612549871,0.11363636363636363,0.016565176595705413
post_xplus_fp32_once,live,6,576,0.7734781901041666,1.0,3,44,0.0001841341710463563,0.0016488721465392866,0.000741941842722504,0.0002320327365933496,0.11363636363636363,0.01486714948957264
post_xplus_fp32_once,live,6,749,0.9987386067708334,1.0,3,44,0.00017555215718477837,0.001559678563600811,0.0007035855966044517,0.00021239990825500752,0.09090909090909091,0.011912538629918347
post_xplus_fp32_once,live,6,768,1.0234781901041665,1.0,3,44,0.0001673914104184281,0.0014611494863599895,0.0006772674353332029,0.00020835006489775397,0.11363636363636363,0.014174778379621307
post_xplus_fp32_once,live,12,384,0.5234781901041666,1.0,3,44,0.00014001078405230643,0.0011768257993185036,0.0005598334182313254,0.00019394493187350272,0.06818181818181818,0.010782337173347352
post_xplus_fp32_once,live,12,576,0.7734781901041666,1.0,3,44,0.00014771276807514576,0.0013951316560052982,0.0005969395993834175,0.00020949713296531547,0.13636363636363635,0.015556342684839502
post_xplus_fp32_once,live,12,749,0.9987386067708334,1.0,3,44,9.691847726274587e-05,0.0008399005200175744,0.0003904012547585878,0.00016514651727427598,0.09090909090909091,0.011715644076809657
post_xplus_fp32_once,live,12,768,1.0234781901041665,1.0,3,44,0.00013002225346461026,0.0011958424896444267,0.000525346810819043,0.00018637214353550005,0.09090909090909091,0.012391546136293972
post_xplus_fp32_once,live,23,384,0.5234781901041666,1.0,3,44,9.806763327446788e-05,0.0008910416087851966,0.0003933172498766816,0.00016814070576782534,0.045454545454545456,0.00938097399696753
post_xplus_fp32_once,live,23,576,0.7734781901041666,1.0,3,44,8.6110602707508e-05,0.0007662719148373746,0.0003479546009010197,0.000144590674124288,0.09090909090909091,0.011484458842124371
post_xplus_fp32_once,live,23,749,0.9987386067708334,1.0,3,44,8.767493804513875e-05,0.0008004647770141039,0.0003555678943876938,0.0001527059006596184,0.06818181818181818,0.012137719826862287
post_xplus_fp32_once,live,23,768,1.0234781901041665,1.0,3,44,8.457825795331205e-05,0.0007629822935555819,0.00034186269053521827,0.00014933353467249102,0.09090909090909091,0.012309129284353744
post_xplus_fp32_once,live,39,384,0.5234781901041666,1.0,3,44,1.3914118438948183e-05,0.00012525246102282163,5.5726269767312914e-05,0.0,0.0,0.0
