layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q3_physical_training_coselection_single,704,91.4990234375,72.7158203125,151.6044921875,58.0087890625,136.3310546875,703.412109375
q3_physical_training_coselection_single,736,95.3984375,75.95703125,158.1123046875,61.8251953125,142.248046875,735.388671875
q3_physical_training_coselection_single,768,99.43359375,79.228515625,164.1240234375,65.490234375,148.3515625,767.40625
q3_physical_training_coselection_single,800,103.37109375,82.4140625,170.873046875,69.4228515625,154.181640625,799.38671875
q3_physical_training_coselection_single,832,107.4306640625,85.7412109375,177.3798828125,73.0,160.1259765625,831.376953125
q3_physical_training_coselection_single,864,111.580078125,89.1689453125,183.6181640625,76.7529296875,166.03125,863.46484375
q3_physical_training_coselection_single,896,115.7685546875,92.6181640625,189.5361328125,80.6494140625,171.9423828125,895.419921875
q3_physical_training_coselection_single,928,119.7041015625,95.875,195.9091796875,84.923828125,177.8759765625,927.4296875
q3_physical_training_coselection_single,960,123.814453125,99.2783203125,201.5205078125,89.087890625,183.8671875,959.283203125
q3_physical_training_coselection_single,992,127.85546875,102.646484375,207.4404296875,93.3427734375,189.7509765625,991.25
q3_physical_training_coselection_single,1024,131.9677734375,106.12109375,213.2802734375,97.623046875,195.6533203125,1023.384765625
q3_physical_training_coselection_single,1056,135.9970703125,109.5947265625,219.5048828125,102.392578125,201.275390625,1055.232421875
q3_physical_training_coselection_single,1088,140.4306640625,113.3115234375,224.6513671875,107.01171875,207.0185546875,1087.40625
q3_physical_training_coselection_single,1120,144.5322265625,116.9443359375,230.248046875,111.7158203125,212.767578125,1119.21484375
q3_physical_training_coselection_single,1152,148.82421875,120.412109375,235.740234375,116.3095703125,218.50390625,1151.25
q3_physical_training_coselection_single,1184,153.12109375,124.234375,241.3935546875,121.0263671875,224.1455078125,1183.255859375
q3_physical_training_coselection_single,1216,157.4345703125,127.9609375,246.587890625,125.837890625,229.7890625,1215.2109375
q3_physical_training_coselection_single,1248,161.884765625,131.8095703125,251.8134765625,130.435546875,235.4423828125,1247.20703125
q3_physical_training_coselection_single,1280,166.501953125,135.82421875,256.7119140625,135.203125,241.03515625,1279.095703125
q3_physical_training_coselection_single,1312,170.9873046875,139.748046875,261.912109375,140.125,246.5048828125,1310.970703125
q3_physical_training_coselection_single,1344,175.837890625,143.9384765625,266.76953125,144.6298828125,251.896484375,1342.646484375
q3_physical_training_coselection_single,1376,180.7216796875,148.1650390625,271.59765625,149.81640625,257.0908203125,1374.533203125
q3_physical_training_coselection_single,1408,185.509765625,152.42578125,275.8759765625,154.658203125,262.2841796875,1405.369140625
q3_physical_training_coselection_single,1440,190.2939453125,156.5166015625,280.1298828125,159.3955078125,267.4267578125,1436.173828125
q3_physical_training_coselection_single,1472,194.9052734375,160.5654296875,284.755859375,164.1123046875,272.3369140625,1466.427734375
q3_physical_training_coselection_single,1504,199.552734375,164.5498046875,288.8720703125,168.7392578125,277.2587890625,1495.861328125
q3_physical_training_coselection_single,1506,199.94921875,164.955078125,288.984375,168.8623046875,277.521484375,1497.595703125
q3_physical_training_coselection_single,1507,200.0234375,165.015625,289.103515625,169.0302734375,277.6748046875,1498.4140625
q3_physical_training_coselection_single,1536,203.9189453125,168.228515625,292.6552734375,172.970703125,281.7646484375,1523.626953125
q3_physical_training_coselection_single,1568,207.962890625,171.751953125,296.623046875,177.3154296875,286.2861328125,1550.705078125
q3_physical_training_coselection_single,1600,211.62890625,174.79296875,300.4755859375,181.486328125,290.443359375,1575.96875
q3_physical_training_coselection_single,1632,215.4052734375,177.9814453125,304.0556640625,185.6875,294.4677734375,1601.025390625
q3_physical_training_coselection_single,1664,219.037109375,180.9775390625,307.7373046875,190.2021484375,298.4091796875,1625.96875
