source_run_mode,capture_source,evaluation_split,layer,projection,selection_category,selection_regime,score_method,shortlist_size,refresh_block,physical_budget_bpw,n,p10_exact_gain_retained_matched_fetched_pages,median_exact_gain_retained_matched_fetched_pages,p90_exact_gain_retained_matched_fetched_pages,median_fetched_pages,median_logical_actions,median_logical_bytes,p90_candidate_overfetch
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.25,1,0.6509741725074512,0.6509741725074512,0.6509741725074512,61.0,243.0,15552.0,0.953125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.5,1,0.6509741725074512,0.6509741725074512,0.6509741725074512,61.0,243.0,15552.0,0.4765625
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.75,1,0.6509741725074512,0.6509741725074512,0.6509741725074512,61.0,243.0,15552.0,0.3177083333333333
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,1.0,1,0.6509741725074512,0.6509741725074512,0.6509741725074512,61.0,243.0,15552.0,0.23828125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.25,1,0.7168227644323858,0.7168227644323858,0.7168227644323858,119.0,530.0,33920.0,1.859375
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.5,1,0.7168227644323858,0.7168227644323858,0.7168227644323858,119.0,530.0,33920.0,0.9296875
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.75,1,0.7168227644323858,0.7168227644323858,0.7168227644323858,119.0,530.0,33920.0,0.6197916666666666
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,1.0,1,0.7168227644323858,0.7168227644323858,0.7168227644323858,119.0,530.0,33920.0,0.46484375
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,0.25,1,0.8436359929200353,0.8436359929200353,0.8436359929200353,210.0,848.0,54272.0,3.28125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,0.5,1,0.8436359929200353,0.8436359929200353,0.8436359929200353,210.0,848.0,54272.0,1.640625
