layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q3_ideal_logical_256_byte_plane_ceiling,1460,223.6142578125,152.4609375,280.8271484375,174.58984375,314.0546875,1459.6015625
q3_ideal_logical_256_byte_plane_ceiling,1464,224.19140625,153.08984375,281.4892578125,175.294921875,314.705078125,1463.4755859375
q3_ideal_logical_256_byte_plane_ceiling,1468,224.8701171875,153.759765625,282.103515625,176.0810546875,315.3798828125,1467.57421875
q3_ideal_logical_256_byte_plane_ceiling,1472,225.525390625,154.46875,282.634765625,176.8369140625,316.0205078125,1471.5068359375
q3_ideal_logical_256_byte_plane_ceiling,1476,226.142578125,155.044921875,283.357421875,177.6337890625,316.71484375,1475.6083984375
q3_ideal_logical_256_byte_plane_ceiling,1480,226.751953125,155.7177734375,283.9921875,178.376953125,317.328125,1479.4951171875
q3_ideal_logical_256_byte_plane_ceiling,1484,227.373046875,156.35546875,284.59765625,179.12109375,318.0068359375,1483.4609375
q3_ideal_logical_256_byte_plane_ceiling,1488,227.982421875,157.0546875,285.2021484375,179.982421875,318.6064453125,1487.4345703125
q3_ideal_logical_256_byte_plane_ceiling,1492,228.607421875,157.6474609375,285.8916015625,180.6259765625,319.3994140625,1491.5712890625
q3_ideal_logical_256_byte_plane_ceiling,1496,229.189453125,158.2734375,286.5556640625,181.5400390625,319.974609375,1495.5078125
q3_ideal_logical_256_byte_plane_ceiling,1500,229.900390625,159.060546875,287.189453125,182.390625,320.4921875,1499.525390625
q3_ideal_logical_256_byte_plane_ceiling,1504,230.5166015625,159.640625,287.8349609375,183.072265625,321.2373046875,1503.5390625
q3_ideal_logical_256_byte_plane_ceiling,1506,230.7529296875,160.0751953125,288.0615234375,183.4853515625,321.57421875,1505.5234375
q3_ideal_logical_256_byte_plane_ceiling,1507,230.9443359375,160.2392578125,288.130859375,183.7373046875,321.7119140625,1506.4755859375
q3_ideal_logical_256_byte_plane_ceiling,1508,231.1376953125,160.353515625,288.4248046875,184.0537109375,321.7626953125,1507.4951171875
q3_ideal_logical_256_byte_plane_ceiling,1512,231.7734375,161.0361328125,289.0625,184.7392578125,322.4931640625,1511.59765625
q3_ideal_logical_256_byte_plane_ceiling,1516,232.19140625,161.4697265625,289.7509765625,185.4990234375,323.2880859375,1515.4873046875
q3_ideal_logical_256_byte_plane_ceiling,1520,232.9169921875,162.291015625,290.345703125,186.3642578125,323.7861328125,1519.490234375
q3_ideal_logical_256_byte_plane_ceiling,1524,233.5634765625,162.9228515625,290.8974609375,187.111328125,324.4833984375,1523.4619140625
q3_ideal_logical_256_byte_plane_ceiling,1528,234.203125,163.7119140625,291.5927734375,188.0556640625,325.0126953125,1527.5888671875
