candidate,design,split,level,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,mean_damage,median_damage,p90_damage
B16_g32_global_functional_eps_0p01,B,test,3,152,0.5740428282349936,0.7670902550376382,0.872899512860118,0.23629480451345444,0.28088629245758057,0.32579476833343507,0.012674777116626502,1.549148207413964,0.09026335924863815,6.058105182647705
B16_g32_global_functional_eps_0p01,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p01,B,train,2,258,-0.08828402623936497,0.30442921318240207,0.6717102931279711,0.3763814836740494,0.4670230895280838,0.5522041261196137,0.05081104822456837,5.13322850201972,0.22530417144298553,17.792424011230473
B16_g32_global_functional_eps_0p01,B,train,3,258,0.5887516180510837,0.7750915815738679,0.8779586276658544,0.22023183852434158,0.2708314061164856,0.3235659748315811,0.01600234713405371,1.4702007367723269,0.08771679550409317,4.915743112564087
B16_g32_global_functional_eps_0p01,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p01,B,validation,2,135,-0.1040057201853294,0.2513528277834729,0.6130819624994455,0.4039650857448578,0.4936753511428833,0.5667476534843445,0.053259257972240445,6.353612042246041,0.22358086705207825,20.16735877990726
B16_g32_global_functional_eps_0p01,B,validation,3,135,0.6065649787909041,0.7678407665881504,0.8876426640095089,0.23484300971031188,0.27996891736984253,0.32484413385391236,0.014780349843204022,1.534963261998362,0.081522136926651,5.314654159545898
B16_g32_global_functional_eps_0p01,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p02,B,test,2,152,-0.10288472312746148,0.2962863804061976,0.6121122955556278,0.40604681372642515,0.48673196136951447,0.5677711367607117,0.03879032731056214,5.0941362387660005,0.24030040204524994,17.961516761779787
B16_g32_global_functional_eps_0p02,B,test,3,152,0.6006844933842643,0.7754650926865666,0.8674653016154966,0.23503102362155914,0.2747969925403595,0.3281248569488525,0.011975709162652493,1.5939443293701563,0.07233602181077003,5.335126447677615
B16_g32_global_functional_eps_0p02,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p02,B,train,2,258,-0.05438576914180806,0.3148298141080831,0.6684491577967322,0.3747489869594574,0.4657052755355835,0.5540039777755738,0.04783059284090996,5.177039245453973,0.22058837115764618,20.328206825256352
B16_g32_global_functional_eps_0p02,B,train,3,258,0.5923027570059284,0.7745086999529481,0.8833870651033415,0.21898523569107056,0.26754462718963623,0.32325866222381594,0.01642459351569414,1.4619758066390967,0.07156380265951157,4.851256895065308
B16_g32_global_functional_eps_0p02,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p02,B,validation,2,135,-0.18224421841255634,0.22841571039088227,0.5909589945852728,0.41011505722999575,0.4921260476112366,0.5715829014778138,0.051324148476123814,6.798050456673459,0.24993282556533813,21.537253189086925
B16_g32_global_functional_eps_0p02,B,validation,3,135,0.5584463945071865,0.7834080543113882,0.8885918063533841,0.23401854932308197,0.2770440876483917,0.3225436270236969,0.013914335891604424,1.5862115471485865,0.07664036005735397,5.08680362701416
B16_g32_global_functional_eps_0p02,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p05,B,test,2,152,-0.10953985803808625,0.3076451264508505,0.5747303915597529,0.4057605892419815,0.48569509387016296,0.5727704048156739,0.0358986858278513,5.17453574998868,0.23886918276548386,15.982911586761475
B16_g32_global_functional_eps_0p05,B,test,3,152,0.6206651147715994,0.7892727117415168,0.8870944048487897,0.23095347136259078,0.27308109402656555,0.3226122409105301,0.01144861076027155,1.3618439985255368,0.07535885646939278,5.0012781620025635
