candidate,design,objective,sharing,projection,split,level,count,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,median_damage,p90_damage,summed_damage,median_own_recovery
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,train,2,258,0.2555126488208771,0.31955426931381226,0.3543483763933182,0.016172069869935513,0.08740659058094025,7.202927827835085,562.999613138847,0.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,train,3,258,0.14933650940656662,0.18103668838739395,0.19692363142967223,0.0058685425668954854,0.03060154989361763,2.4665328741073616,191.84571777982637,0.6614603102207184
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,validation,2,135,0.2919585406780243,0.3410080671310425,0.3772686243057251,0.023011700063943864,0.11432816833257675,9.433580589294438,377.39417621679604,0.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,validation,3,135,0.16110301911830902,0.189327210187912,0.20354562997817993,0.007145079225301743,0.033274319022893906,2.416896867752077,104.86434554867446,0.7132152318954468
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,test,2,152,0.1120024062693119,0.22377288341522217,0.283483898639679,1.4745411157608033,9.966955184936523,81.42167053222657,4235.320075690746,0.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,test,3,152,0.04348869360983372,0.12104607746005058,0.15365556627511978,0.43895446360111234,2.9500855207443237,12.023872661590577,844.7873985171318,0.7186038494110107
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,train,2,258,0.10881394147872925,0.22172439098358154,0.2785980761051178,1.472718381881714,10.30484390258789,71.52097244262696,6857.589353680611,0.0
