candidate,design,level,stratification,stratum,count,p10_relative_error,median_relative_error,p90_relative_error,summed_damage,median_own_recovery
C8_g32_layer_functional,C,3,block_scale_bin,high,152,0.0574892308562994,0.10206246748566628,0.19345626085996628,1473.0922084525228,0.737169623374939
C8_g32_layer_functional,C,3,block_scale_bin,low,141,0.12540894746780396,0.17076414823532104,0.20757406949996948,183.7590335351415,0.694503128528595
C8_g32_layer_functional,C,3,block_scale_bin,median,163,0.12635497450828553,0.17928054928779602,0.199994558095932,195.66408159816638,0.6982250213623047
C8_g32_layer_functional,C,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
C8_g32_layer_functional,C,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
C8_g32_layer_functional,C,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
D4_g16_layer_functional,D,2,block_scale_bin,high,152,0.14756182134151458,0.19367412477731705,0.34022875726222995,7037.680956795812,0.0
D4_g16_layer_functional,D,2,block_scale_bin,low,141,0.2397911548614502,0.2950860857963562,0.3749145567417145,607.3772061401978,0.0
D4_g16_layer_functional,D,2,block_scale_bin,median,163,0.23276510536670686,0.3193085789680481,0.3586410939693451,643.8361133411527,0.0
D4_g16_layer_functional,D,3,block_scale_bin,high,152,0.07163050994277001,0.10515214502811432,0.19551308751106264,1847.9544030800462,0.7095004320144653
D4_g16_layer_functional,D,3,block_scale_bin,low,141,0.1380983293056488,0.1717640459537506,0.21328438818454742,203.09372548921965,0.6782333254814148
D4_g16_layer_functional,D,3,block_scale_bin,median,163,0.1322397381067276,0.18390603363513947,0.20197974145412445,209.62969756592065,0.6843398809432983
D4_g16_layer_functional,D,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
D4_g16_layer_functional,D,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
D4_g16_layer_functional,D,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
E16_g64_layer_functional,E,2,block_scale_bin,high,152,0.131170055270195,0.20442812144756317,0.3515580177307129,6446.961209774017,0.0
E16_g64_layer_functional,E,2,block_scale_bin,low,141,0.24744679033756256,0.3117963969707489,0.38929444551467896,629.1436735726893,0.0
E16_g64_layer_functional,E,2,block_scale_bin,median,163,0.23957459926605223,0.3281278610229492,0.37084474563598635,664.0052067199722,0.0
E16_g64_layer_functional,E,3,block_scale_bin,high,152,0.04561801664531231,0.10457874834537506,0.19690475761890414,1318.2238897830248,0.7402328848838806
E16_g64_layer_functional,E,3,block_scale_bin,low,141,0.1262878179550171,0.1696968674659729,0.21228517591953278,188.79725950676948,0.7067511081695557
E16_g64_layer_functional,E,3,block_scale_bin,median,163,0.12849247753620147,0.1815195083618164,0.20269074141979218,198.19471644517034,0.7048550844192505
E16_g64_layer_functional,E,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
E16_g64_layer_functional,E,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
E16_g64_layer_functional,E,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
E32_g64_layer_functional,E,2,block_scale_bin,high,152,0.12436348646879196,0.20272500813007355,0.345090714097023,6099.2518846690655,0.0
E32_g64_layer_functional,E,2,block_scale_bin,low,141,0.2459208071231842,0.3078977167606354,0.3857388496398926,615.3862475026399,0.0
E32_g64_layer_functional,E,2,block_scale_bin,median,163,0.23501382172107696,0.3269990384578705,0.3686126470565796,658.9033841919154,0.0
E32_g64_layer_functional,E,3,block_scale_bin,high,152,0.045600858703255656,0.10290240868926048,0.1942668467760086,1286.3232400789857,0.7407060861587524
E32_g64_layer_functional,E,3,block_scale_bin,low,141,0.12870335578918457,0.16799506545066833,0.21214255690574646,187.84152359236032,0.6988621950149536
E32_g64_layer_functional,E,3,block_scale_bin,median,163,0.12795674204826354,0.18178056180477142,0.20348593890666963,196.69223313732073,0.7023850679397583
E32_g64_layer_functional,E,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
E32_g64_layer_functional,E,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
E32_g64_layer_functional,E,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
E64_g64_layer_functional,E,2,block_scale_bin,high,152,0.1262692853808403,0.19946011900901794,0.34548417925834657,6129.811638176441,0.0
