layer,expert_id,projection,bits,relative_atom_mse,observed_master_prefix_levels
4,252,up,2,0.9812731146812439,4
4,252,up,4,0.061725884675979614,16
4,252,up,8,0.0002347420813748613,256
4,252,up,16,9.013607638053145e-10,58301
4,252,down,2,3.003371477127075,4
4,252,down,4,0.181402325630188,16
4,252,down,8,0.000704202800989151,256
4,252,down,16,2.7077222686244795e-09,41579
20,5,gate,2,0.9679524898529053,4
20,5,gate,4,0.058545831590890884,16
20,5,gate,8,0.00022742380679119378,256
20,5,gate,16,8.730825507008433e-10,58164
20,5,up,2,0.9169797897338867,4
20,5,up,4,0.056474894285202026,16
20,5,up,8,0.0002202499017585069,256
20,5,up,16,8.38829949945108e-10,58402
20,5,down,2,2.936830997467041,4
20,5,down,4,0.1797291785478592,16
20,5,down,8,0.0006988418172113597,256
20,5,down,16,2.6783768536375874e-09,39792
20,30,gate,2,0.8734704256057739,4
20,30,gate,4,0.054917894303798676,16
20,30,gate,8,0.00021392908820416778,256
20,30,gate,16,8.098877124496084e-10,58138
20,30,up,2,0.8975337743759155,4
20,30,up,4,0.05602949857711792,16
20,30,up,8,0.0002175965200876817,256
20,30,up,16,8.289893771440404e-10,58276
20,30,down,2,2.9522383213043213,4
20,30,down,4,0.1806333065032959,16
20,30,down,8,0.0007019752520136535,256
20,30,down,16,2.7008235647940637e-09,40356
20,44,gate,2,1.4110980033874512,4
20,44,gate,4,0.07907548546791077,16
20,44,gate,8,0.0003109366225544363,256
20,44,gate,16,1.1807904654048684e-09,57303
20,44,up,2,0.8888221979141235,4
20,44,up,4,0.05484114587306976,16
20,44,up,8,0.00021538868895731866,256
20,44,up,16,8.202585832783882e-10,58242
20,44,down,2,3.318074941635132,4
20,44,down,4,0.1993691325187683,16
20,44,down,8,0.0007741826120764017,256
20,44,down,16,2.9650786270707385e-09,39641
20,45,gate,2,0.9171309471130371,4
20,45,gate,4,0.05725704878568649,16
20,45,gate,8,0.00022468186216428876,256
20,45,gate,16,8.355741099030922e-10,58052
20,45,up,2,0.8996415138244629,4
20,45,up,4,0.05653141066431999,16
20,45,up,8,0.00021851695782970637,256
20,45,up,16,8.461352174471415e-10,58356
20,45,down,2,2.9195938110351562,4
20,45,down,4,0.17866156995296478,16
20,45,down,8,0.0006953469710424542,256
20,45,down,16,2.663132825375669e-09,39983
20,46,gate,2,0.8792465329170227,4
20,46,gate,4,0.05536912754178047,16
20,46,gate,8,0.00021529571677092463,256
20,46,gate,16,8.155787711849882e-10,57929
20,46,up,2,0.9121068716049194,4
20,46,up,4,0.05688432604074478,16
20,46,up,8,0.00022006224025972188,256
20,46,up,16,8.523656225278842e-10,58224
20,46,down,2,2.9388246536254883,4
20,46,down,4,0.1796017736196518,16
20,46,down,8,0.0006970004178583622,256
20,46,down,16,2.6796971308584716e-09,40020
20,54,gate,2,0.982353150844574,4
20,54,gate,4,0.059252940118312836,16
20,54,gate,8,0.0002314297016710043,256
20,54,gate,16,8.8981566559454e-10,57976
20,54,up,2,0.922188937664032,4
20,54,up,4,0.05744016170501709,16
20,54,up,8,0.00022527461987920105,256
20,54,up,16,8.540046447791383e-10,58261
20,54,down,2,2.854233503341675,4
20,54,down,4,0.17508190870285034,16
20,54,down,8,0.0006806114688515663,256
20,54,down,16,2.608360416544997e-09,40462
20,72,gate,2,0.948209285736084,4
20,72,gate,4,0.05832584947347641,16
20,72,gate,8,0.00022729737975168973,256
20,72,gate,16,8.62763638309616e-10,57509
20,72,up,2,0.9487255811691284,4
20,72,up,4,0.05958130955696106,16
20,72,up,8,0.00022955061285756528,256
20,72,up,16,8.745891788564109e-10,58134
20,72,down,2,2.925271987915039,4
20,72,down,4,0.1790323108434677,16
20,72,down,8,0.0006973076961003244,256
20,72,down,16,2.6726689750233845e-09,39949
20,142,gate,2,0.9209251999855042,4
20,142,gate,4,0.057425327599048615,16
20,142,gate,8,0.00022159765649121255,256
20,142,gate,16,8.495312786571674e-10,58158
20,142,up,2,0.9088661670684814,4
20,142,up,4,0.056481439620256424,16
20,142,up,8,0.00021932885283604264,256
20,142,up,16,8.435083187485759e-10,58400
20,142,down,2,3.7127373218536377,4
20,142,down,4,0.21743877232074738,16
20,142,down,8,0.0008427671855315566,256
20,142,down,16,3.230164580259043e-09,40055
20,148,gate,2,0.995650589466095,4
20,148,gate,4,0.06212606653571129,16
20,148,gate,8,0.00023721213801763952,256
20,148,gate,16,9.073163331763112e-10,57729
20,148,up,2,0.9375207424163818,4
20,148,up,4,0.058248121291399,16
