resident_base,layer,projection,budget_bpw,invocations,recovery_median,relative_output_error_median,base_damage_median
activation-aware-scale W1 (1.250488 resident bpw),20,gate,2.0,136,0.6616768697044803,0.2407815083861351,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,2.5,136,0.7244327122704858,0.22415806353092194,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,3.0,136,0.7522461131444342,0.211501806974411,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,4.0,136,0.8539501370628757,0.16077330708503723,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,up,0.0,136,0.0,0.571748822927475,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,0.05,136,0.17722040597925665,0.5184958577156067,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,0.1,136,0.2355629543427324,0.49834367632865906,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,0.2,136,0.2818032027187346,0.48038822412490845,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,0.3,136,0.3119161363590776,0.4733790159225464,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,0.5,136,0.3588258192037461,0.45509231090545654,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,0.75,136,0.40232892200477505,0.43914102017879486,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,1.0,136,0.44055369101451686,0.4250774532556534,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,1.25,136,0.46770725327855933,0.410900816321373,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,1.5,136,0.4907461172110513,0.4040181189775467,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,2.0,136,0.5534707347697525,0.3751673400402069,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,2.5,136,0.6777815934699238,0.32766927778720856,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,3.0,136,0.7109199038760512,0.3141562044620514,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),20,up,4.0,136,0.8054475215972554,0.254631444811821,37.51897374166865
activation-aware-scale W1 (1.250488 resident bpw),39,down,0.0,153,0.0,0.6187565922737122,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,0.05,153,0.0774879781917378,0.6030874848365784,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,0.1,153,0.20608470070450213,0.5701251029968262,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,0.2,153,0.2758424836182696,0.5363438129425049,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,0.3,153,0.32172118581969955,0.5181936025619507,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,0.5,153,0.4056325633993688,0.48665493726730347,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,0.75,153,0.48548019420191335,0.4678288698196411,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,1.0,153,0.5488956211820581,0.4498332440853119,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,1.25,153,0.6019661971885641,0.4282635748386383,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,1.5,153,0.6139811701553369,0.40491312742233276,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,2.0,153,0.6889131041375367,0.377427875995636,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,2.5,153,0.731036976855739,0.3445062041282654,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,3.0,153,0.7735162254389003,0.30967187881469727,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,down,4.0,153,0.8797943818235117,0.18753138184547424,8.813541990295636
activation-aware-scale W1 (1.250488 resident bpw),39,gate,0.0,153,0.0,0.4145406484603882,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,0.05,153,0.5674575644038607,0.27251526713371277,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,0.1,153,0.6433108193979502,0.2440001517534256,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,0.2,153,0.6625717412927737,0.23895269632339478,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,0.3,153,0.6825371518494088,0.23024089634418488,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,0.5,153,0.7141897071243877,0.21835818886756897,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,0.75,153,0.7422360456565433,0.21164122223854065,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,1.0,153,0.752584789445707,0.20547237992286682,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,1.25,153,0.7628473073860109,0.19808213412761688,210.72349247015728
activation-aware-scale W1 (1.250488 resident bpw),39,gate,1.5,153,0.7743814154093602,0.19246816635131836,210.72349247015728
