projection,method,physical_budget_bpw,invocations,requests,mean,ci_low,ci_high,median,p10,p25,p75,p90,p95,p99,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
down,overcomplete_2x,0.2,400,16,0.1781262462136973,0.15467609126368045,0.2041787335411656,0.12369194131040678,-0.02112959279955075,0.042714200882375375,0.26763723598294575,0.5120849872102375,0.6290856343069916,0.7230664240108049,0.0,0.0,0.0,0.0
down,overcomplete_2x,0.5,400,16,0.267630682315026,0.23730756804780195,0.30218863101955357,0.20646396048330123,0.029406625453379402,0.09970643788478567,0.3954382228462102,0.6343539472121623,0.7486959870181197,0.8637156158700621,0.0275,0.0,0.0,0.0
down,overcomplete_2x,1.0,400,16,0.34812830210003554,0.3138193320401591,0.38301672641502466,0.2908905367854877,0.09455586489781624,0.1718868187049524,0.5026570518140661,0.6999835283973368,0.7960338968549754,0.9042244755362142,0.05,0.0125,0.0,0.0
down,pca,0.1,400,16,0.1615309312716721,0.13330659930563965,0.18935752175991813,0.10787550413972768,-0.06437892568107526,-0.002455276777263371,0.28340943921989226,0.501668764967569,0.6069654682516517,0.7931175445497413,0.01,0.0075,0.0,0.0
down,pca,0.2,400,16,0.206690776572555,0.17794961163337045,0.24094541264953842,0.16173972867419467,-0.0576867220068826,0.02247079201805574,0.33833723836803536,0.6091328943854932,0.7034774778488918,0.8365528313140511,0.02,0.0075,0.0025,0.0
down,pca,0.5,400,16,0.30234361996756265,0.26936412293148915,0.34059006200256403,0.2618829838983592,-0.012156375867707023,0.10254313717664565,0.47530965604919095,0.7192785595956583,0.8308248464074318,0.9222142330655724,0.055,0.0325,0.005,0.0
down,pca,1.0,400,16,0.3904965480359512,0.35728250258948807,0.4270306832362011,0.3754030858318119,0.056006310901663435,0.20865599527410897,0.5793604805976004,0.8053490649509659,0.88511533605458,0.9564502719870295,0.105,0.0425,0.015,0.0
down,progressive_best,0.1,400,16,0.3047961368370252,0.2821766143407204,0.32992997693688925,0.2598024594644282,0.043381933469653806,0.14398934240075761,0.43973827283679484,0.655989709436682,0.7709710411249519,0.8808296629459075,0.04,0.0025,0.0025,0.0
down,progressive_best,0.2,400,16,0.38110379752664775,0.3577768251401072,0.40862922756978837,0.3590161642671382,0.08815101566741652,0.2057050237128078,0.5325870469019189,0.7696106733521499,0.8522182940978827,0.9108255982223974,0.0775,0.015,0.0025,0.0
down,progressive_best,0.5,400,16,0.5050950603956652,0.4843856861459756,0.5316831223782881,0.49813031576842426,0.21438708870175877,0.3482276472568272,0.6578743636914108,0.8342700865066417,0.9009307379149253,0.9667975261151828,0.125,0.0525,0.015,0.0
down,progressive_best,1.0,400,16,0.6103196516414416,0.5839521941652681,0.6446895379288021,0.6324428068986492,0.30623834883801887,0.4716154685320584,0.7833692300086135,0.9068040551695205,0.9531360668250562,0.9819460533730412,0.23,0.105,0.055,0.0025
down,random,0.1,400,16,0.023044933815681158,0.016550210615008828,0.029894032490932358,0.026809522334442004,-0.07116743910112797,-0.025366197093678766,0.0687148551841047,0.11348684314062875,0.13582986831081206,0.19855469271421855,0.0,0.0,0.0,0.0
down,random,0.2,400,16,0.038901029231766596,0.02866509117097135,0.04827162394175556,0.047960669105601594,-0.0885644750286115,-0.01803324723165861,0.10294195761807085,0.1497942733728396,0.19423631437244313,0.2605087540052312,0.0,0.0,0.0,0.0
