resident_base,method,budget_bpw,invocations,requests,mean_recovery,mean_ci_low,mean_ci_high,median_recovery,median_ci_low,median_ci_high,p10_recovery,p90_recovery,p95_damage_fraction,p99_damage_fraction,relative_output_error_median,actual_physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
W1_1.250488bpw,pca_pca_native,0.5,167,16,0.5563770762074381,0.49080384051684306,0.6150447139716438,0.5418884885755519,0.4649929851983074,0.6310712162493628,0.2811821402486914,0.8626178621236247,0.7626957580503294,0.8298254900274783,0.6506006717681885,0.4791666666666667,0.1875,0.28125,0.75,0.1437125748502994,0.07784431137724551,0.011976047904191617,0.0
W1_1.250488bpw,pca_pca_native,0.75,167,16,0.6118595537367629,0.5521770129091882,0.667944783583966,0.6042269443650452,0.5150532777065413,0.7172995588373126,0.34288449329915893,0.916312003109311,0.7077145848475117,0.8122529122009237,0.6162053942680359,0.7291666666666666,0.28125,0.5,1.0,0.23952095808383234,0.10778443113772455,0.041916167664670656,0.0
W1_1.250488bpw,pca_pca_native,1.0,167,16,0.6548650649495031,0.5979066288877793,0.7082157979367301,0.6538502371411798,0.5625587329498369,0.7595770892040808,0.38330997006123857,0.9392779894864269,0.665008350686522,0.7422524539257905,0.5942608118057251,0.9791666666666666,0.5,0.5,1.46875,0.32335329341317365,0.1437125748502994,0.0658682634730539,0.0
W1_1.250488bpw,pca_pca_native,1.25,167,16,0.6856314672408274,0.6282047091000146,0.7382737010608302,0.6896613408737995,0.5981627859672881,0.7999014219713706,0.4149104946650504,0.9533337034081995,0.6393934615839117,0.6947437631088178,0.5571163296699524,1.2291666666666667,0.75,1.0,1.5,0.3652694610778443,0.20958083832335328,0.11377245508982035,0.005988023952095809
W1_1.250488bpw,pca_pca_native,1.5,167,16,0.7236478654697253,0.6709544049298591,0.7753149139827258,0.7329717850760938,0.6409154259470187,0.8404842772928939,0.4621693951585396,0.9691752322039756,0.5790397646674181,0.6255888215237477,0.5310009717941284,1.4895833333333333,1.0,1.25,2.0,0.437125748502994,0.24550898203592814,0.15568862275449102,0.017964071856287425
W1_1.250488bpw,pca_pca_native,2.0,167,16,0.7654030868595565,0.7148776662095632,0.811894196147732,0.7744602398200818,0.6929058113508333,0.8909812072070046,0.5119188783755161,0.9816159112486019,0.5143852326745996,0.576095624394329,0.48900097608566284,1.9895833333333333,1.5,1.5,2.5,0.47305389221556887,0.32934131736526945,0.25149700598802394,0.05389221556886228
W1_1.250488bpw,pca_pca_native,2.5,167,16,0.8000657425564456,0.7522202627955719,0.8446792047058508,0.8106038829924663,0.7413126285837361,0.9153594398392181,0.5693043563392329,0.9900475338724034,0.46368593365318295,0.524728580334236,0.43971338868141174,2.4895833333333335,2.0,2.0,3.0,0.5089820359281437,0.3652694610778443,0.2934131736526946,0.10778443113772455
W1_1.250488bpw,pca_pca_native,3.0,167,16,0.8254002112812554,0.7866333869624593,0.8635844007473991,0.8270326200592324,0.774590671513116,0.9261950443977097,0.5962327258496359,0.9931896830996775,0.4157994798887235,0.4471631721179562,0.4040549695491791,2.9895833333333335,3.0,2.5,3.96875,0.5748502994011976,0.40119760479041916,0.30538922155688625,0.15568862275449102
W1_1.250488bpw,pca_pca_native,4.0,167,16,0.8552636487356929,0.8236513050362124,0.8865883410796614,0.8721833864124303,0.8124043721299167,0.9363660139997974,0.6613352606828313,0.9962872466215877,0.3695902472372895,0.4227623907106197,0.36144477128982544,3.6666666666666665,4.0,4.0,4.0,0.6526946107784432,0.437125748502994,0.32934131736526945,0.18562874251497005
Q2_2.250488bpw,all_generalized,0.0,167,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5337511301040649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
