layer,method,budget_bpw,invocations,recovery_median,recovery_p10,relative_error_median,physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median
20,pca_pca_native,3.0,40,0.6935553768555722,0.5874216699991373,0.5636943578720093,2.9166666666666665,3.0,4.0,3.0
20,pca_pca_native,4.0,40,0.7496896609612673,0.6482208981752758,0.48318833112716675,3.994791666666667,4.0,4.0,4.0
39,all_generalized,0.0,60,0.0,0.0,0.8304605782032013,0.0,0.0,0.0,0.0
39,all_generalized,0.25,60,0.44696803250186345,0.1973313806666667,0.7155446112155914,0.23958333333333334,0.140625,0.09375,0.375
39,all_generalized,0.5,60,0.5253027870990925,0.2526672514519713,0.6671046912670135,0.4791666666666667,0.1875,0.28125,0.75
39,all_generalized,0.75,60,0.5685168015249519,0.32536260597088934,0.6533982157707214,0.7291666666666666,0.28125,0.28125,1.109375
39,all_generalized,1.0,60,0.5962642981159019,0.3553912420781862,0.6225641965866089,0.9635416666666667,0.5,0.28125,1.5
39,all_generalized,1.25,60,0.6251396938761562,0.37625628688936136,0.6148840487003326,1.1979166666666667,0.5,0.5,2.0
39,all_generalized,1.5,60,0.6488132823018007,0.4127816444884939,0.5551241338253021,1.4791666666666667,0.734375,0.75,2.5
39,all_generalized,2.0,60,0.713508762180779,0.5016080593823102,0.5020336508750916,1.9270833333333333,1.5,0.984375,2.984375
39,all_generalized,2.5,60,0.7524828609477922,0.5394356923253618,0.4807530492544174,2.4166666666666665,1.5,2.0,3.484375
39,all_generalized,3.0,60,0.7789831312471489,0.6102792751918241,0.4477642625570297,2.901041666666667,2.75,2.5,4.0
39,all_generalized,4.0,60,0.8172629281585093,0.6505650781036805,0.3828210234642029,3.6666666666666665,4.0,4.0,4.0
39,all_native,0.0,60,0.0,0.0,0.8304605782032013,0.0,0.0,0.0,0.0
39,all_native,0.25,60,0.26136531579800165,0.16562081500254097,0.7612919807434082,0.234375,0.171875,0.09375,0.375
39,all_native,0.5,60,0.3305912602661945,0.2155284108803644,0.7499714195728302,0.4791666666666667,0.265625,0.1875,0.75
39,all_native,0.75,60,0.3977909593355808,0.2535076175476713,0.7265283167362213,0.7291666666666666,0.5,0.375,1.0
