projection,stage,comparison,k,cases,recovery_median,recovery_p10,recovery_p90
down,3,bounded_beam_w64_pool32,14.0,4,0.4204601371596816,0.3000705491657568,0.6562129929591503
down,3,bounded_beam_w64_pool32,15.0,4,0.43426053284826804,0.3124981996772226,0.6661174354948385
down,3,bounded_beam_w64_pool32,16.0,4,0.4478662785427393,0.32461175687256316,0.6759754365994178
gate,1,bounded_beam_w16_pool32,1.0,4,0.23994384370954686,0.08935166653420207,0.2703315304601429
gate,1,bounded_beam_w16_pool32,2.0,4,0.2792817280597852,0.12198000678001686,0.3167969401946916
gate,1,bounded_beam_w16_pool32,3.0,4,0.306044895634265,0.1479797218427317,0.3549744134449407
gate,1,bounded_beam_w16_pool32,4.0,4,0.32844712450284586,0.17145269745786063,0.36643024209763164
gate,1,bounded_beam_w16_pool32,5.0,4,0.34299265709464993,0.1899546583723048,0.37614621063851894
gate,1,bounded_beam_w16_pool32,6.0,4,0.35059620871989544,0.20279789573144102,0.38351055996607675
gate,1,bounded_beam_w16_pool32,7.0,4,0.3582647401269539,0.2154126491926289,0.39038633071565904
gate,1,bounded_beam_w16_pool32,8.0,4,0.36622350027254186,0.22644129874737345,0.3970845858584536
gate,1,bounded_beam_w16_pool32,9.0,4,0.37328971549700624,0.2351489437441738,0.40364273925349964
gate,1,bounded_beam_w16_pool32,10.0,4,0.38012720661138,0.24368367784511466,0.4096330613459717
gate,1,bounded_beam_w16_pool32,11.0,4,0.38676467665816455,0.2514832961367308,0.415133252451181
gate,1,bounded_beam_w16_pool32,12.0,4,0.39178180147310937,0.25853467966125715,0.4201103291518857
gate,1,bounded_beam_w16_pool32,13.0,4,0.395680515025849,0.26496111972712877,0.42436798983917456
gate,1,bounded_beam_w16_pool32,14.0,4,0.4000352679576681,0.2709453351481329,0.42886541515761645
gate,1,bounded_beam_w16_pool32,15.0,4,0.4041133785684452,0.2769294064031587,0.4328127927786426
gate,1,bounded_beam_w16_pool32,16.0,4,0.40717516972702217,0.2818261920580334,0.4366716124949813
gate,1,bounded_beam_w64_pool32,1.0,4,0.23994384370954686,0.08935166653420207,0.2703315304601429
gate,1,bounded_beam_w64_pool32,2.0,4,0.2792817280597852,0.12198000678001686,0.3167969401946916
gate,1,bounded_beam_w64_pool32,3.0,4,0.306044895634265,0.1479797235538442,0.354974416047879
gate,1,bounded_beam_w64_pool32,4.0,4,0.32844712450284586,0.17145269963846602,0.3664302441860099
gate,1,bounded_beam_w64_pool32,5.0,4,0.34299265709464993,0.18995466001274325,0.37614621294408196
gate,1,bounded_beam_w64_pool32,6.0,4,0.3505962089664062,0.20279789808209409,0.38351056280069656
gate,1,bounded_beam_w64_pool32,7.0,4,0.3582647407710515,0.21541265247126312,0.39038633364111414
gate,1,bounded_beam_w64_pool32,8.0,4,0.3662235001563209,0.2264413011186506,0.39708458797647067
gate,1,bounded_beam_w64_pool32,9.0,4,0.373289718311119,0.23514894837184072,0.40364274152341945
gate,1,bounded_beam_w64_pool32,10.0,4,0.38012720885198586,0.24368368289700393,0.4096330630609636
gate,1,bounded_beam_w64_pool32,11.0,4,0.3867646794337211,0.25148329968774535,0.4151332547503235
gate,1,bounded_beam_w64_pool32,12.0,4,0.39178180395209095,0.25853468304609273,0.42011033186826136
gate,1,bounded_beam_w64_pool32,13.0,4,0.39568052140454185,0.2649611249859468,0.42436799353575466
gate,1,bounded_beam_w64_pool32,14.0,4,0.4000352738730576,0.27094534196475073,0.42886541830790237
gate,1,bounded_beam_w64_pool32,15.0,4,0.40411338357694565,0.27692941308091257,0.43281279738263906
gate,1,bounded_beam_w64_pool32,16.0,4,0.40717517480106774,0.2818261986728854,0.43667161700888063
gate,2,bounded_beam_w16_pool32,1.0,4,0.1767734824034602,0.12906765303818796,0.21865801302083032
gate,2,bounded_beam_w16_pool32,2.0,4,0.21997871027955396,0.18446193407562095,0.26038687786396686
gate,2,bounded_beam_w16_pool32,3.0,4,0.24727869671880381,0.20390004828901687,0.2858211921869807
gate,2,bounded_beam_w16_pool32,4.0,4,0.2665577802602778,0.21714878712699953,0.3062542954143044
gate,2,bounded_beam_w16_pool32,5.0,4,0.2821404986508378,0.22865417194112034,0.3215965912758089
gate,2,bounded_beam_w16_pool32,6.0,4,0.2952372011713515,0.23964045913223522,0.33469517807296023
gate,2,bounded_beam_w16_pool32,7.0,4,0.30633768015796337,0.2507851340449833,0.34468543722555983
gate,2,bounded_beam_w16_pool32,8.0,4,0.31736556136808375,0.2615162673377988,0.3545038832458474
gate,2,bounded_beam_w16_pool32,9.0,4,0.3283039795610143,0.2715449585753216,0.3640105626168817
